Date,Temperature,Humidity,Precipitation
254,110,1,44
255,85,14,11
256,88,64,84
257,88,6,63
258,82,89,47
259,107,95,80
260,108,77,46
261,107,37,36
262,108,78,32
263,106,73,4
264,54,34,19
265,73,46,6
266,60,63,2
267,79,47,3
268,52,55,32
269,78,97,38
270,66,26,97
271,79,18,51
272,79,88,77
273,71,30,80
274,53,89,52
275,51,89,8
276,65,0,37
277,51,8,27
278,77,80,74
279,56,32,38
280,76,37,30
281,70,21,5
282,65,38,89
283,79,0,96
284,63,77,43
285,65,5,58
286,65,58,30
287,53,7,13
288,74,15,28
289,54,29,89
290,56,3,21
291,55,22,17
292,68,80,68
293,69,75,21
294,52,45,56
295,61,47,51
296,73,8,61
297,59,31,65
298,63,47,59
299,77,96,86
300,66,5,10
301,70,8,16
302,51,20,0
303,66,75,78
304,68,67,47
305,54,43,88
306,50,13,8
307,62,31,61
308,59,16,9
309,77,16,53
310,61,83,44
311,60,62,93
312,58,88,85
313,71,50,31
314,68,96,33
315,64,31,30
316,56,99,52
317,58,61,7
318,53,81,32
319,62,84,39
320,51,48,36
321,78,85,81
322,56,30,90
323,50,7,56
324,53,98,57
325,61,72,80
326,60,88,63
327,59,69,60
328,64,16,51
329,66,30,60
330,58,67,49
331,53,24,20
332,71,24,55
333,50,30,99
334,64,97,71
335,72,96,8
336,55,87,67
337,70,26,3
338,69,84,13
339,67,97,42
340,76,78,14
341,50,43,31
342,66,20,96
343,78,42,64
344,62,100,16
345,72,22,66
346,77,58,83
347,80,86,54
348,74,11,27
349,58,53,81
350,61,16,55
351,79,34,12
352,71,46,13
353,65,13,32
354,65,98,43
355,50,55,5
356,35,5,54
357,24,64,44
358,29,11,96
359,49,16,35
360,27,17,36
361,27,10,92
362,25,83,89
363,42,71,89
364,33,44,96
1,42,50,25
2,45,91,46
3,36,1,96
4,22,47,80
5,24,89,46
6,31,69,70
7,41,66,4
8,44,67,3
9,42,41,60
10,44,82,1
11,41,90,34
12,20,33,3
13,20,75,73
14,49,78,34
15,46,40,25
16,42,67,76
17,20,0,55
18,28,6,46
19,37,63,12
20,43,89,5
21,29,55,46
22,22,69,2
23,37,15,75
24,24,38,13
25,35,90,67
26,21,9,34
27,42,16,86
28,31,2,35
29,21,47,6
30,33,31,29
31,39,47,0
32,37,95,51
33,27,82,8
34,44,73,95
35,27,11,98
36,39,5,85
37,22,6,98
38,42,28,15
39,36,7,25
40,22,27,29
41,20,92,75
42,40,83,62
43,38,68,72
44,25,91,26
45,39,47,45
46,33,69,47
47,46,6,11
48,39,32,39
49,45,1,0
50,38,19,95
51,33,39,39
52,23,16,40
53,32,80,41
54,21,67,73
55,26,85,65
56,38,75,46
57,47,7,23
58,37,2,80
59,35,93,64
60,49,69,81
61,43,51,43
62,23,21,51
63,42,27,20
64,38,51,86
65,44,69,9
66,45,1,18
67,50,20,76
68,47,34,80
69,40,26,65
70,27,23,24
71,46,58,82
72,33,37,58
73,41,98,91
74,32,12,32
75,44,98,49
76,36,41,55
77,38,58,72
78,26,39,52
79,40,88,61
80,41,26,43
81,32,90,38
82,32,90,16
83,30,38,22
84,20,9,39
85,27,87,80
86,25,36,89
87,37,69,56
88,30,83,10
89,26,27,11
90,39,54,10
91,41,49,14
92,26,31,20
93,70,74,25
94,52,46,96
95,58,13,20
96,58,22,37
97,65,50,0
98,66,3,60
99,61,51,77
100,65,45,86
101,50,36,99
102,60,94,28
103,48,53,22
104,48,80,19
105,71,87,28
106,49,46,68
107,56,75,60
108,57,20,51
109,44,29,17
110,46,79,9
111,76,37,70
112,47,72,60
113,59,21,70
114,79,77,79
115,55,19,30
116,57,70,14
117,80,45,90
118,77,71,41
119,75,81,73
120,50,63,40
121,73,43,24
122,66,67,16
123,71,33,69
124,72,34,96
125,74,63,1
126,63,64,14
127,47,34,65
128,77,36,25
129,75,91,48
130,66,53,59
131,56,87,54
132,46,47,72
133,42,87,63
134,77,74,69
135,45,7,22
136,55,75,74
137,59,34,25
138,51,57,45
139,63,36,34
140,41,75,8
141,42,83,62
142,79,10,86
143,46,87,27
144,43,58,63
145,80,42,98
146,78,99,68
147,51,1,98
148,52,47,52
149,67,14,25
150,53,0,52
151,45,73,7
152,67,20,43
153,60,55,64
154,42,51,18
155,44,51,1
156,50,97,20
157,71,24,5
158,46,2,92
159,67,13,72
160,46,55,44
161,63,24,17
162,46,74,60
163,45,46,16
164,46,94,98
165,65,8,46
166,66,1,80
167,78,27,44
168,77,26,51
169,72,44,46
170,41,61,74
171,102,55,24
172,83,4,47
173,106,79,98
174,71,6,48
175,73,91,58
176,84,73,91
177,99,82,80
178,78,72,72
179,73,89,4
180,93,79,99
181,84,13,24
182,74,97,80
183,89,6,13
184,103,55,5
185,71,42,92
186,109,94,99
187,75,22,22
188,89,19,62
189,101,87,18
190,92,19,74
191,70,26,99
192,89,48,91
193,71,11,97
194,83,67,57
195,108,46,39
196,107,12,3
197,108,57,19
198,92,33,73
199,103,66,35
200,86,67,33
201,71,89,83
202,110,56,58
203,106,42,37
204,101,79,76
205,85,26,20
206,93,52,44
207,106,28,37
208,81,72,90
209,95,50,84
210,91,8,27
211,102,76,4
212,105,19,40
213,79,56,100
214,70,41,3
215,102,13,96
216,95,38,34
217,78,15,34
218,82,84,37
219,104,100,44
220,70,20,49
221,99,33,72
222,92,9,90
223,98,27,86
224,86,44,46
225,98,82,94
226,91,67,81
227,76,77,2
228,87,49,98
229,84,17,14
230,82,96,14
231,71,73,36
232,96,61,57
233,81,34,90
234,76,87,57
235,97,51,73
236,90,84,99
237,98,71,49
238,80,71,86
239,99,82,61
240,94,97,80
241,99,96,41
242,88,59,91
243,101,64,39
244,110,57,49
245,92,21,17
246,92,89,32
247,103,99,9
248,106,42,96
249,89,57,63
250,76,95,86
251,106,44,26
252,98,65,31
253,107,14,58
254,107,55,62
255,98,78,37
256,105,72,13
257,90,23,16
258,106,64,1
259,84,87,97
260,109,41,35
261,84,90,92
262,79,27,87
263,107,7,74
264,76,47,46
265,50,38,48
266,68,26,78
267,78,32,11
268,51,6,53
269,68,10,32
270,70,2,8
271,55,47,15
272,51,15,45
273,63,71,56
274,60,80,53
275,60,91,60
276,78,81,56
277,62,62,15
278,62,29,74
279,74,10,72
280,53,91,17
281,63,6,83
282,68,44,92
283,73,88,83
284,64,82,87
285,56,50,25
286,77,53,15
287,60,72,60
288,63,50,25
289,61,41,80
290,57,41,14
291,57,16,89
292,50,66,75
293,79,48,18
294,50,23,60
295,78,6,45
296,53,100,28
297,69,87,8
298,50,18,100
299,51,69,40
300,50,8,99
301,63,13,39
302,76,99,41
303,77,52,23
304,74,66,57
305,66,73,0
306,70,50,12
307,53,67,86
308,53,52,40
309,53,62,13
310,61,77,18
311,50,98,81
312,53,61,82
313,77,39,93
314,69,91,50
315,55,86,49
316,78,95,39
317,74,16,78
318,77,38,52
319,75,70,63
320,60,8,77
321,60,7,85
322,55,11,35
323,80,64,15
324,50,7,76
325,80,63,26
326,62,79,58
327,61,56,2
328,61,5,8
329,71,25,3
330,74,57,75
331,59,20,67
332,63,95,1
333,55,0,49
334,58,52,26
335,65,74,49
336,58,14,50
337,53,64,70
338,51,71,82
339,80,65,95
340,77,49,73
341,79,4,63
342,73,89,1
343,67,96,38
344,51,72,35
345,69,32,43
346,51,29,99
347,76,57,64
348,78,22,61
349,77,60,7
350,59,70,96
351,72,28,64
352,54,41,74
353,52,28,68
354,50,28,28
355,30,91,84
356,28,58,84
357,38,57,4
358,50,59,42
359,28,72,9
360,34,25,5
361,31,26,31
362,40,92,65
363,43,59,81
364,26,70,87
1,31,51,45
2,24,83,8
3,43,39,26
4,39,61,17
5,42,40,22
6,47,52,60
7,40,51,71
8,29,76,15
9,38,78,88
10,49,99,6
11,49,89,16
12,32,62,73
13,49,27,24
14,35,9,42
15,42,32,98
16,22,84,80
17,45,3,27
18,28,5,82
19,43,27,60
20,39,1,25
21,28,50,67
22,45,90,85
23,34,50,89
24,40,6,8
25,34,85,43
26,35,27,84
27,32,5,69
28,26,97,16
29,25,83,99
30,42,33,56
31,20,17,90
32,36,79,99
33,43,64,90
34,23,70,30
35,20,83,66
36,38,69,96
37,48,36,18
38,31,1,27
39,25,35,85
40,39,8,13
41,34,36,87
42,35,37,17
43,29,43,25
44,47,8,17
45,33,44,74
46,31,13,87
47,39,62,32
48,47,99,81
49,42,38,83
50,30,98,4
51,26,32,48
52,23,13,24
53,26,71,88
54,31,70,42
55,49,32,28
56,34,57,95
57,30,11,78
58,31,26,40
59,37,98,77
60,29,69,56
61,31,43,62
62,28,32,11
63,31,58,54
64,39,62,3
65,45,26,34
66,34,64,73
67,29,55,37
68,26,21,0
69,37,24,89
70,38,84,96
71,27,91,5
72,20,86,27
73,48,100,35
74,30,89,65
75,21,20,47
76,46,89,83
77,42,10,93
78,37,55,37
79,48,44,25
80,24,49,23
81,37,16,52
82,43,38,99
83,25,21,47
84,45,50,21
85,31,22,39
86,41,67,60
87,48,51,54
88,27,16,14
89,41,56,25
90,34,57,73
91,39,24,77
92,41,19,89
93,65,10,54
94,61,5,82
95,78,79,55
96,51,48,89
97,73,67,63
98,53,37,76
99,66,11,22
100,78,62,93
101,56,2,98
102,72,12,23
103,79,4,62
104,78,74,10
105,65,7,67
106,51,58,77
107,54,17,100
108,57,76,0
109,57,21,20
110,54,92,65
111,75,42,88
112,48,57,69
113,79,65,3
114,52,63,63
115,79,62,46
116,76,92,10
117,67,32,8
118,60,35,53
119,68,75,55
120,75,69,17
121,46,10,99
122,80,10,30
123,58,97,71
124,61,79,82
125,59,21,28
126,67,20,86
127,49,35,2
128,61,99,0
129,60,45,60
130,41,4,99
131,78,62,95
132,51,63,86
133,66,89,92
134,71,55,26
135,76,5,69
136,69,82,50
137,54,85,50
138,49,17,9
139,51,31,27
140,67,36,50
141,55,39,52
142,44,5,2
143,46,40,44
144,49,84,3
145,44,74,56
146,54,43,99
147,73,17,73
148,72,44,87
149,54,38,11
150,76,25,97
151,66,48,3
152,58,64,98
153,55,13,84
154,70,1,46
155,57,90,42
156,50,75,87
157,45,98,43
158,63,69,69
159,62,66,76
160,45,48,73
161,54,60,69
162,74,66,60
163,71,21,59
164,80,2,96
165,73,18,49
166,40,82,97
167,67,94,85
168,43,74,40
169,51,41,45
170,54,74,0
171,105,31,47
172,93,50,28
173,83,28,87
174,77,51,42
175,95,15,0
176,98,82,42
177,74,75,12
178,71,48,47
179,94,94,15
180,101,85,42
181,88,73,12
182,87,49,21
183,70,39,4
184,93,39,45
185,103,39,97
186,78,58,41
187,97,65,5
188,87,75,6
189,107,6,27
190,107,24,95
191,91,48,82
192,100,79,8
193,84,57,48
194,75,12,71
195,86,72,33
196,101,44,97
197,86,25,7
198,110,29,27
199,102,82,9
200,95,58,77
201,103,76,41
202,83,73,4
203,103,7,29
204,89,92,92
205,101,4,19
206,105,61,95
207,89,72,61
208,100,25,2
209,102,50,32
210,91,100,77
211,80,28,85
212,102,44,70
213,89,43,41
214,70,5,26
215,108,70,70
216,81,83,94
217,70,95,93
218,97,30,94
219,75,56,29
220,87,91,58
221,104,73,20
222,97,60,85
223,98,43,4
224,93,53,100
225,100,69,4
226,81,47,29
227,89,81,85
228,106,4,10
229,70,18,58
230,103,96,73
231,85,60,23
232,91,2,39
233,77,87,73
234,99,27,60
235,92,90,94
236,90,100,4
237,98,93,26
238,110,55,57
239,107,45,45
240,101,25,22
241,76,83,84
242,105,37,61
243,92,6,14
244,104,70,60
245,74,43,13
246,110,43,9
247,110,19,46
248,82,54,92
249,81,19,28
250,74,21,84
251,93,16,37
252,71,73,54
253,89,61,61
254,103,90,43
255,73,18,62
256,90,39,43
257,104,2,1
258,81,5,40
259,106,36,34
260,94,9,9
261,89,73,55
262,72,58,15
263,90,67,74
264,67,68,37
265,76,61,26
266,63,12,20
267,54,66,7
268,55,49,51
269,58,96,65
270,71,72,64
271,79,96,95
272,60,28,16
273,62,18,27
274,53,76,7
275,55,94,76
276,71,3,77
277,66,24,64
278,59,28,21
279,80,46,99
280,64,88,63
281,78,29,8
282,50,85,23
283,71,25,43
284,57,69,67
285,53,40,48
286,60,48,34
287,63,72,66
288,64,43,95
289,76,14,64
290,63,0,6
291,78,32,76
292,71,24,79
293,64,99,57
294,54,73,50
295,52,36,10
296,70,8,52
297,70,6,28
298,61,67,77
299,75,4,9
300,51,89,17
301,75,81,65
302,52,47,3
303,67,46,64
304,55,59,62
305,70,24,25
306,67,59,60
307,72,27,60
308,59,57,1
309,73,14,17
310,61,18,68
311,68,88,5
312,55,34,12
313,58,60,17
314,56,75,29
315,50,63,98
316,66,36,98
317,51,56,57
318,67,13,96
319,71,18,81
320,52,27,57
321,53,6,81
322,73,16,84
323,65,64,53
324,56,87,96
325,74,12,77
326,53,2,53
327,64,65,61
328,79,28,5
329,53,7,74
330,66,77,44
331,76,30,7
332,66,62,76
333,67,57,31
334,72,33,53
335,64,32,20
336,65,18,59
337,70,99,33
338,80,56,14
339,62,49,61
340,59,96,79
341,55,8,95
342,70,24,8
343,78,0,4
344,64,50,31
345,52,15,82
346,74,3,17
347,55,87,65
348,64,49,81
349,69,37,36
350,72,21,49
351,50,77,94
352,74,99,69
353,80,68,14
354,66,40,48
355,20,49,70
356,24,77,31
357,46,85,3
358,23,27,84
359,26,94,72
360,22,38,47
361,42,48,65
362,30,100,1
363,50,77,90
364,36,40,93
1,31,59,0
2,20,37,57
3,24,33,49
4,49,66,53
5,20,90,19
6,36,29,30
7,28,17,87
8,20,30,3
9,30,72,6
10,40,83,53
11,34,49,83
12,22,33,87
13,46,28,80
14,25,65,83
15,46,32,76
16,28,58,88
17,26,50,6
18,35,86,58
19,34,42,2
20,25,38,29
21,32,41,1
22,37,64,81
23,35,82,95
24,34,42,73
25,21,56,87
26,41,9,90
27,32,28,74
28,28,23,38
29,36,87,6
30,32,24,86
31,29,62,74
32,33,32,7
33,50,53,25
34,47,41,65
35,47,95,61
36,44,67,55
37,29,92,81
38,38,35,73
39,43,67,75
40,25,49,51
41,41,80,76
42,33,43,17
43,23,72,49
44,32,30,53
45,47,51,76
46,36,68,71
47,27,54,97
48,49,78,80
49,29,39,87
50,24,63,58
51,40,78,8
52,27,25,100
53,34,37,44
54,46,60,2
55,30,85,53
56,43,22,15
57,44,68,81
58,46,9,52
59,34,3,5
60,43,79,2
61,29,24,0
62,48,50,25
63,27,97,77
64,48,40,86
65,26,39,4
66,46,18,17
67,37,24,44
68,32,85,48
69,35,90,87
70,40,4,81
71,48,36,44
72,42,51,52
73,49,42,24
74,26,65,78
75,30,0,49
76,44,66,94
77,23,97,98
78,31,56,39
79,28,48,75
80,34,87,62
81,25,57,54
82,41,87,47
83,40,0,20
84,50,100,78
85,39,37,4
86,25,69,22
87,28,60,39
88,20,57,68
89,37,56,20
90,25,71,21
91,30,74,72
92,30,26,30
93,68,66,87
94,60,72,57
95,43,72,68
96,46,20,12
97,50,79,5
98,56,88,28
99,77,92,59
100,78,79,96
101,46,68,67
102,71,54,22
103,46,82,75
104,52,73,63
105,74,64,18
106,68,46,94
107,47,90,23
108,50,39,71
109,45,7,69
110,72,55,26
111,64,44,100
112,63,73,24
113,44,86,81
114,77,34,41
115,75,20,30
116,61,57,29
117,66,64,62
118,41,26,31
119,63,4,40
120,61,98,74
121,51,95,72
122,76,71,37
123,67,11,12
124,40,25,77
125,55,12,19
126,75,67,7
127,51,84,29
128,80,19,42
129,50,86,82
130,64,47,66
131,69,87,57
132,72,19,9
133,80,66,19
134,41,71,77
135,41,11,7
136,79,21,2
137,79,60,62
138,62,38,89
139,46,44,0
140,40,46,55
141,46,28,90
142,45,57,2
143,78,33,80
144,66,16,38
145,42,34,74
146,64,18,47
147,55,16,69
148,55,31,16
149,66,28,39
150,74,40,91
151,77,44,13
152,69,80,73
153,55,79,42
154,80,86,81
155,80,16,36
156,48,90,2
157,72,17,53
158,59,56,88
159,73,20,31
160,77,14,39
161,49,11,71
162,78,79,97
163,55,53,1
164,75,27,21
165,76,89,34
166,66,1,78
167,61,3,99
168,77,82,79
169,43,97,39
170,79,41,31
171,86,39,92
172,101,65,15
173,100,69,33
174,108,62,86
175,79,50,51
176,93,40,29
177,90,66,10
178,109,16,59
179,76,64,50
180,95,63,86
181,88,47,69
182,95,35,5
183,71,5,87
184,102,41,18
185,81,71,71
186,110,46,65
187,70,1,24
188,107,70,54
189,83,63,82
190,91,36,96
191,81,64,48
192,95,68,91
193,102,99,75
194,104,55,0
195,73,80,34
196,85,4,43
197,108,24,79
198,86,78,2
199,73,80,37
200,83,34,1
201,74,74,31
202,79,81,89
203,74,94,3
204,96,43,99
205,70,3,24
206,103,93,43
207,89,40,34
208,94,19,29
209,76,51,99
210,83,8,23
211,82,17,72
212,109,61,44
213,73,26,65
214,106,67,19
215,90,62,67
216,104,55,23
217,82,97,45
218,86,11,30
219,103,58,14
220,81,36,27
221,104,12,5
222,74,59,24
223,106,79,56
224,99,39,75
225,104,52,67
226,94,14,82
227,107,79,83
228,88,6,21
229,86,50,81
230,73,71,20
231,74,84,38
232,99,86,20
233,91,18,67
234,75,41,30
235,107,86,14
236,99,27,88
237,74,3,63
238,78,42,17
239,82,22,22
240,85,38,96
241,98,91,39
242,93,42,61
243,74,47,2
244,75,2,69
245,105,58,30
246,81,35,19
247,83,76,17
248,86,69,100
249,101,11,25
250,95,51,73
251,84,17,62
252,87,47,57
253,100,70,26
254,75,1,51
255,75,51,15
256,89,89,48
257,104,13,56
258,74,82,36
259,88,59,27
260,81,1,0
261,94,5,31
262,97,61,18
263,83,26,36
264,64,70,75
265,74,58,26
266,80,89,13
267,67,1,42
268,77,0,74
269,70,45,84
270,61,48,96
271,75,31,22
272,70,15,38
273,59,7,90
274,64,60,28
275,69,22,93
276,52,54,22
277,73,24,11
278,56,37,23
279,57,3,71
280,52,88,22
281,74,31,84
282,68,97,5
283,57,98,35
284,58,45,76
285,64,63,98
286,78,54,3
287,73,7,3
288,69,10,95
289,56,97,50
290,78,78,51
291,70,84,18
292,55,52,7
293,65,33,64
294,66,95,62
295,64,10,49
296,51,39,7
297,63,69,17
298,60,67,42
299,56,14,68
300,62,72,45
301,64,37,54
302,72,28,58
303,51,74,38
304,53,38,32
305,74,27,77
306,71,14,93
307,59,4,79
308,74,36,57
309,73,20,82
310,62,3,72
311,73,6,22
312,53,17,78
313,75,56,94
314,76,99,26
315,61,7,90
316,52,0,72
317,77,94,97
318,77,29,70
319,74,93,88
320,73,63,95
321,50,18,94
322,64,41,46
323,61,85,6
324,70,60,19
325,71,16,3
326,52,87,53
327,77,66,28
328,55,24,64
329,71,22,21
330,68,72,49
331,78,60,100
332,77,30,30
333,59,43,10
334,76,81,92
335,75,33,20
336,57,83,60
337,68,89,52
338,60,82,42
339,80,95,40
340,54,88,61
341,74,65,14
342,76,29,36
343,80,97,35
344,72,9,11
345,55,99,27
346,68,57,86
347,54,10,56
348,77,68,84
349,77,4,14
350,66,66,58
351,58,76,27
352,65,42,50
353,54,28,33
354,51,12,51
355,50,73,44
356,25,36,40
357,44,6,13
358,25,48,54
359,40,58,32
360,44,99,91
361,35,13,85
362,48,100,20
363,31,51,28
364,30,2,98
1,32,8,6
2,33,37,66
3,36,59,89
4,40,11,92
5,31,32,52
6,28,53,56
7,33,68,11
8,24,6,70
9,47,13,64
10,39,25,46
11,42,70,100
12,48,60,95
13,45,37,93
14,20,36,69
15,28,19,46
16,42,39,28
17,38,14,88
18,48,9,85
19,44,92,63
20,38,66,86
21,39,33,24
22,37,99,6
23,27,56,91
24,20,63,36
25,36,18,68
26,46,90,77
27,47,74,50
28,41,37,93
29,46,54,8
30,21,63,84
31,48,87,96
32,30,33,78
33,20,39,48
34,35,64,12
35,20,73,55
36,28,74,85
37,33,64,58
38,30,42,98
39,24,78,54
40,23,77,26
41,36,0,44
42,21,25,62
43,35,83,15
44,36,33,32
45,30,49,46
46,36,88,1
47,41,22,87
48,25,25,85
49,44,60,2
50,30,53,98
51,29,0,10
52,23,8,21
53,37,22,35
54,38,43,35
55,29,51,65
56,41,82,20
57,48,36,100
58,31,52,26
59,42,78,33
60,50,69,28
61,20,41,35
62,49,36,39
63,36,96,48
64,35,9,90
65,39,46,27
66,50,40,48
67,40,2,97
68,50,91,1
69,30,7,9
70,34,39,19
71,38,22,39
72,26,59,56
73,21,100,85
74,40,44,19
75,21,32,24
76,42,77,84
77,40,40,41
78,41,83,0
79,37,88,68
80,43,62,2
81,31,32,27
82,25,49,35
83,43,65,20
84,23,34,35
85,27,84,46
86,29,50,95
87,32,35,34
88,28,52,0
89,50,51,32
90,49,4,21
91,48,1,86
92,35,78,77
93,56,65,50
94,70,40,82
95,58,38,2
96,55,43,13
97,45,88,6
98,59,57,12
99,80,62,99
100,75,75,74
101,50,60,75
102,52,3,11
103,48,15,42
104,59,52,54
105,56,20,99
106,55,14,44
107,76,83,96
108,66,47,16
109,74,19,69
110,68,55,1
111,63,69,6
112,70,32,13
113,53,59,39
114,55,16,71
115,57,81,33
116,60,84,25
117,80,83,77
118,48,68,35
119,77,82,63
120,54,10,50
121,67,95,7
122,48,88,77
123,68,62,27
124,67,4,58
125,40,43,34
126,50,25,86
127,65,100,65
128,77,62,15
129,80,97,11
130,53,33,6
131,66,65,7
132,68,34,96
133,72,92,17
134,54,96,77
135,62,84,53
136,52,47,40
137,43,61,40
138,68,96,25
139,65,65,46
140,47,50,85
141,56,85,89
142,68,54,18
143,45,87,36
144,44,50,9
145,78,25,36
146,69,57,0
147,73,2,0
148,70,69,75
149,57,79,0
150,61,81,96
151,72,59,1
152,58,49,37
153,60,44,75
154,55,22,90
155,41,90,83
156,54,81,5
157,70,85,69
158,70,27,20
159,50,55,65
160,56,98,85
161,43,70,58
162,61,18,29
163,58,46,31
164,70,96,88
165,56,99,84
166,59,46,90
167,76,38,21
168,61,75,90
169,54,4,19
170,52,63,42
171,90,16,0
172,103,99,97
173,104,7,6
174,73,59,5
175,91,21,37
176,96,70,93
177,81,98,91
178,76,51,88
179,102,75,2
180,70,35,25
181,74,7,100
182,100,78,91
183,97,59,97
184,76,87,47
185,94,66,92
186,93,8,86
187,81,86,28
188,101,34,9
189,100,62,2
190,92,36,75
191,84,65,24
192,71,20,86
193,81,61,45
194,107,41,87
195,94,69,90
196,88,56,50
197,107,17,57
198,78,87,85
199,100,37,17
200,85,44,52
201,95,30,4
202,97,96,25
203,82,80,3
204,106,85,97
205,72,64,36
206,93,63,65
207,73,7,92
208,106,94,93
209,107,63,60
210,82,62,10
211,103,18,67
212,109,78,18
213,70,9,4
214,81,0,55
215,93,25,41
216,75,79,43
217,110,10,99
218,85,66,18
219,98,31,65
220,88,21,19
221,71,4,11
222,107,21,88
223,80,44,5
224,97,79,27
225,89,78,43
226,104,3,83
227,108,41,42
228,71,15,1
229,108,46,91
230,95,91,80
231,91,99,99
232,99,84,88
233,81,91,0
234,98,97,23
235,85,36,61
236,99,62,51
237,98,29,1
238,96,97,43
239,99,5,46
240,97,67,48
241,85,86,39
242,77,5,4
243,101,5,50
244,106,23,33
245,87,74,59
246,73,41,29
247,109,27,93
248,81,100,9
249,95,57,55
250,105,63,97
251,80,80,85
252,101,14,90
253,87,17,21
254,99,58,73
255,85,42,27
256,94,71,75
257,100,46,18
258,84,87,0
259,93,77,82
260,87,69,64
261,99,40,4
262,72,74,46
263,78,48,10
264,57,65,56
265,56,60,28
266,67,58,87
267,78,55,85
268,63,57,64
269,67,91,24
270,68,96,89
271,59,59,78
272,72,64,47
273,61,75,44
274,68,12,75
275,65,77,71
276,65,45,96
277,72,93,6
278,72,96,2
279,78,68,13
280,59,31,85
281,65,87,43
282,70,70,80
283,80,76,32
284,58,42,92
285,78,41,1
286,57,50,84
287,70,64,81
288,54,7,75
289,79,78,32
